Date/Time,KNMI,Darksky
24-07-2018 6.09,15.9,18.26
24-07-2018 7.10,17.3,19.33
24-07-2018 8.10,22,21.37
24-07-2018 9.10,24.2,24.34
24-07-2018 10.10,25.9,26.54
24-07-2018 11.10,27.5,28.11
24-07-2018 12.10,28.9,29.79
24-07-2018 13.10,29.5,30.39
24-07-2018 14.10,30.4,30.38
24-07-2018 15.10,30.5,30.98
24-07-2018 16.10,30.9,29.34
24-07-2018 17.10,29.7,29.9
24-07-2018 18.11,29.8,28.89
24-07-2018 19.11,28.9,28.92
24-07-2018 20.11,28.2,27.49
24-07-2018 21.11,26.6,24.94
24-07-2018 22.11,24.4,22.99
24-07-2018 23.11,23.7,21.76
25-07-2018 0.12,23,20.72
25-07-2018 1.12,21,20.97
25-07-2018 2.12,20.6,20.76
25-07-2018 3.12,21.9,19.91
25-07-2018 4.12,19.7,18.87
25-07-2018 5.12,20,18.79
25-07-2018 6.12,18.9,19.59
25-07-2018 7.12,19,20.83
25-07-2018 8.13,22.2,
25-07-2018 9.13,24.5,24.43
25-07-2018 10.13,23.4,26.41
25-07-2018 11.13,23.2,28.67
25-07-2018 12.13,23,27.45
25-07-2018 13.13,24.1,28.18
25-07-2018 14.14,27.3,29.26
25-07-2018 15.14,28.9,29.73
25-07-2018 16.14,28.9,30.39
25-07-2018 17.14,29.9,30.27
25-07-2018 18.14,29.7,30.11
25-07-2018 19.14,28.9,29.41
25-07-2018 20.14,28,27.81
25-07-2018 21.15,27,26.57
25-07-2018 22.15,25.8,24.78
25-07-2018 23.15,24.5,23.58
26-07-2018 0.15,21,22.78
26-07-2018 1.15,21.1,22.19
26-07-2018 2.15,21.5,21.43
26-07-2018 3.15,20.8,20.66
26-07-2018 4.15,20.4,20.07
26-07-2018 5.15,19.8,20.16
26-07-2018 6.15,19.6,21
26-07-2018 7.15,19.7,21.86
26-07-2018 8.15,21.3,22.8
26-07-2018 9.15,23.6,25.08
26-07-2018 10.15,26.3,27.19
26-07-2018 11.15,29.3,29.33
26-07-2018 12.16,31.2,31.14
26-07-2018 13.16,32.9,32.94
26-07-2018 14.16,34.2,33.72
26-07-2018 15.16,35,33.92
26-07-2018 16.16,35.3,33.66
26-07-2018 17.16,35.4,33.67
26-07-2018 18.17,34.9,33.53
26-07-2018 19.17,34.9,32.87
26-07-2018 20.17,31.6,30.65
26-07-2018 21.17,30.7,28.13
26-07-2018 22.17,28.5,24.9
26-07-2018 23.17,26.6,24.2
27-07-2018 0.18,23.6,23.37
27-07-2018 1.18,23.9,22.93
27-07-2018 2.18,23.6,22.81
27-07-2018 3.18,26.6,22.68
27-07-2018 4.18,26.1,23.84
27-07-2018 5.18,26.4,23.21
27-07-2018 6.18,25.5,23.17
27-07-2018 7.18,26.6,23.22
27-07-2018 8.18,27.7,25.32
27-07-2018 9.18,28.9,27.79
27-07-2018 10.18,29.7,30.23
27-07-2018 11.18,31.8,31.71
27-07-2018 12.18,33.2,32.72
27-07-2018 13.18,33.9,34.63
27-07-2018 14.19,34.2,35.26
27-07-2018 15.19,34.8,35.88
27-07-2018 16.19,35.1,35.94
27-07-2018 17.19,35.2,35.64
27-07-2018 18.19,34.8,35.3
27-07-2018 19.19,33.5,34.3
27-07-2018 20.19,32.2,32.23
27-07-2018 21.20,29.8,30.6
27-07-2018 22.20,25.3,27.67
27-07-2018 23.20,27.5,26.66
28-07-2018 0.20,26.3,27.4
28-07-2018 1.20,25.2,25.9
28-07-2018 2.20,22.4,22.77
28-07-2018 3.20,21.9,21.13
28-07-2018 4.21,22,20.07
28-07-2018 5.21,20.9,20.06
28-07-2018 6.21,20.6,20.51
28-07-2018 7.21,20.2,20.36
28-07-2018 8.21,21.2,21.04
28-07-2018 9.21,20.8,20.49
28-07-2018 10.21,20.6,20.29
28-07-2018 11.22,20.3,20.81
28-07-2018 12.22,21.7,22.36
28-07-2018 13.22,20.6,24.34
28-07-2018 14.22,23.2,23.33
28-07-2018 15.22,22.6,23.19
28-07-2018 16.22,22.5,23.03
28-07-2018 17.22,22.6,22.21
28-07-2018 18.22,22.5,22.1
28-07-2018 19.22,22.6,21.81
28-07-2018 20.22,21.4,20.62
28-07-2018 21.22,20.2,19.58
28-07-2018 22.22,18.6,18.26
28-07-2018 23.22,16.2,17.34
29-07-2018 0.22,15.9,16.81
29-07-2018 1.22,13.5,16.13
29-07-2018 2.22,14.7,15.49
29-07-2018 3.22,14,15.26
29-07-2018 4.23,15.3,15.71
29-07-2018 5.23,15.2,16.12
29-07-2018 6.23,15.4,17.04
29-07-2018 7.23,16,17.38
29-07-2018 8.23,18,19.31
29-07-2018 9.23,19.4,21.43
29-07-2018 10.23,21.7,23.09
29-07-2018 13.11,25.1,25.54
29-07-2018 14.11,25.1,25.47
29-07-2018 15.12,26.3,24.31
29-07-2018 16.12,25,23.16
